Accession,Organism_Name,Submitters,Organization,Org_location,Release_Date,Isolate,Species,Nuc_Completeness,Geo_Location,Country,Host,Isolation_Source,Collection_Date
OR041681,Mammarenavirus lassaense,"Sandi,J.D., Momoh,M., Jalloh,A.M.S., Kamara,M.S., Kallon,T.M.P.S., Francis,B., Samuels,R.J., Wohl,S., Alhasan,F., Kanneh,L., Park,D., Tomkins-Tinch,C., Siddle,K.J., Schefflien,J.S., Sabeti,P., Garry,R.F., Andersen,K.G., Happi,C., Grant,D.S.","Kenema Government Hospital, viral hemorrhagic fever (VHF) Laborarory, Laboratory",Sierra Leone,2023-07-19,G-27882-1-2,Mammarenavirus lassaense,partial,Sierra Leone: KGH,Sierra Leone,Homo sapiens,,2023-01-20
OR041682,Mammarenavirus lassaense,"Sandi,J.D., Momoh,M., Jalloh,A.M.S., Kamara,M.S., Kallon,T.M.P.S., Francis,B., Samuels,R.J., Wohl,S., Alhasan,F., Kanneh,L., Park,D., Tomkins-Tinch,C., Siddle,K.J., Schefflien,J.S., Sabeti,P., Garry,R.F., Andersen,K.G., Happi,C., Grant,D.S.","Kenema Government Hospital, viral hemorrhagic fever (VHF) Laborarory, Laboratory",Sierra Leone,2023-07-19,G-27807-1-2,Mammarenavirus lassaense,partial,Sierra Leone: KGH,Sierra Leone,Homo sapiens,,2022-09-12
OR041683,Mammarenavirus lassaense,"Sandi,J.D., Momoh,M., Jalloh,A.M.S., Kamara,M.S., Kallon,T.M.P.S., Francis,B., Samuels,R.J., Wohl,S., Alhasan,F., Kanneh,L., Park,D., Tomkins-Tinch,C., Siddle,K.J., Schefflien,J.S., Sabeti,P., Garry,R.F., Andersen,K.G., Happi,C., Grant,D.S.","Kenema Government Hospital, viral hemorrhagic fever (VHF) Laborarory, Laboratory",Sierra Leone,2023-07-19,G-26293-2-2,Mammarenavirus lassaense,partial,Sierra Leone: KGH,Sierra Leone,Homo sapiens,,2021-07-31
OR041684,Mammarenavirus lassaense,"Sandi,J.D., Momoh,M., Jalloh,A.M.S., Kamara,M.S., Kallon,T.M.P.S., Francis,B., Samuels,R.J., Wohl,S., Alhasan,F., Kanneh,L., Park,D., Tomkins-Tinch,C., Siddle,K.J., Schefflien,J.S., Sabeti,P., Garry,R.F., Andersen,K.G., Happi,C., Grant,D.S.","Kenema Government Hospital, viral hemorrhagic fever (VHF) Laborarory, Laboratory",Sierra Leone,2023-07-19,G-27645-1-2,Mammarenavirus lassaense,partial,Sierra Leone: KGH,Sierra Leone,Homo sapiens,,2022-05-17
OR041685,Mammarenavirus lassaense,"Sandi,J.D., Momoh,M., Jalloh,A.M.S., Kamara,M.S., Kallon,T.M.P.S., Francis,B., Samuels,R.J., Wohl,S., Alhasan,F., Kanneh,L., Park,D., Tomkins-Tinch,C., Siddle,K.J., Schefflien,J.S., Sabeti,P., Garry,R.F., Andersen,K.G., Happi,C., Grant,D.S.","Kenema Government Hospital, viral hemorrhagic fever (VHF) Laborarory, Laboratory",Sierra Leone,2023-07-19,G-25197-1-2,Mammarenavirus lassaense,partial,Sierra Leone: KGH,Sierra Leone,Homo sapiens,,2021-05-24
OR041686,Mammarenavirus lassaense,"Sandi,J.D., Momoh,M., Jalloh,A.M.S., Kamara,M.S., Kallon,T.M.P.S., Francis,B., Samuels,R.J., Wohl,S., Alhasan,F., Kanneh,L., Park,D., Tomkins-Tinch,C., Siddle,K.J., Schefflien,J.S., Sabeti,P., Garry,R.F., Andersen,K.G., Happi,C., Grant,D.S.","Kenema Government Hospital, viral hemorrhagic fever (VHF) Laborarory, Laboratory",Sierra Leone,2023-07-19,G-27785-1-2,Mammarenavirus lassaense,partial,Sierra Leone: KGH,Sierra Leone,Homo sapiens,,2022-08-11
OR041687,Mammarenavirus lassaense,"Sandi,J.D., Momoh,M., Jalloh,A.M.S., Kamara,M.S., Kallon,T.M.P.S., Francis,B., Samuels,R.J., Wohl,S., Alhasan,F., Kanneh,L., Park,D., Tomkins-Tinch,C., Siddle,K.J., Schefflien,J.S., Sabeti,P., Garry,R.F., Andersen,K.G., Happi,C., Grant,D.S.","Kenema Government Hospital, viral hemorrhagic fever (VHF) Laborarory, Laboratory",Sierra Leone,2023-07-19,G-23362-2-2,Mammarenavirus lassaense,partial,Sierra Leone: KGH,Sierra Leone,Homo sapiens,,2021-02-08
OR113004,Mammarenavirus lassaense,"Sandi,J.D., Momoh,M., Jalloh,A.M.S., Kamara,M.S., Kallon,T.M.P.S., Baimba,F., Samuels,R.J., Wohl,S., Alhasan,F., Kanneh,L., Park,D., Siddle,K.J., Schieffelin,J., Sabeti,P., Garry,R.F., Andersen,K.G., Happi,C., Grant,D.S., Schefflien,J.S.","Kenema Government Hospital, Viral Hemorrhagic Fever (VHF) Laborarory",Sierra Leone,2023-07-19,G-27952-1-2,Mammarenavirus lassaense,partial,Sierra Leone: KGH,Sierra Leone,Homo sapiens,,2023-04-11
OR113005,Mammarenavirus lassaense,"Sandi,J.D., Momoh,M., Jalloh,A.M.S., Kamara,M.S., Kallon,T.M.P.S., Baimba,F., Samuels,R.J., Wohl,S., Alhasan,F., Kanneh,L., Park,D., Siddle,K.J., Schieffelin,J., Sabeti,P., Garry,R.F., Andersen,K.G., Happi,C., Grant,D.S., Schefflien,J.S.","Kenema Government Hospital, Viral Hemorrhagic Fever (VHF) Laborarory",Sierra Leone,2023-07-19,G-27961-1-2,Mammarenavirus lassaense,partial,Sierra Leone: KGH,Sierra Leone,Homo sapiens,,2023-04-18
OR113006,Mammarenavirus lassaense,"Sandi,J.D., Momoh,M., Jalloh,A.M.S., Kamara,M.S., Kallon,T.M.P.S., Baimba,F., Samuels,R.J., Wohl,S., Alhasan,F., Kanneh,L., Park,D., Siddle,K.J., Schieffelin,J., Sabeti,P., Garry,R.F., Andersen,K.G., Happi,C., Grant,D.S., Schefflien,J.S.","Kenema Government Hospital, Viral Hemorrhagic Fever (VHF) Laborarory",Sierra Leone,2023-07-19,G-7840-1-2,Mammarenavirus lassaense,partial,Sierra Leone: KGH,Sierra Leone,Homo sapiens,,2018-02-13
OR113007,Mammarenavirus lassaense,"Sandi,J.D., Momoh,M., Jalloh,A.M.S., Kamara,M.S., Kallon,T.M.P.S., Baimba,F., Samuels,R.J., Wohl,S., Alhasan,F., Kanneh,L., Park,D., Siddle,K.J., Schieffelin,J., Sabeti,P., Garry,R.F., Andersen,K.G., Happi,C., Grant,D.S., Schefflien,J.S.","Kenema Government Hospital, Viral Hemorrhagic Fever (VHF) Laborarory",Sierra Leone,2023-07-19,G-7843-2-2,Mammarenavirus lassaense,partial,Sierra Leone: KGH,Sierra Leone,Homo sapiens,,2018-02-20
OR113008,Mammarenavirus lassaense,"Sandi,J.D., Momoh,M., Jalloh,A.M.S., Kamara,M.S., Kallon,T.M.P.S., Baimba,F., Samuels,R.J., Wohl,S., Alhasan,F., Kanneh,L., Park,D., Siddle,K.J., Schieffelin,J., Sabeti,P., Garry,R.F., Andersen,K.G., Happi,C., Grant,D.S., Schefflien,J.S.","Kenema Government Hospital, Viral Hemorrhagic Fever (VHF) Laborarory",Sierra Leone,2023-07-19,G-27952-1-1,Mammarenavirus lassaense,partial,Sierra Leone: KGH,Sierra Leone,Homo sapiens,,2023-04-11
OQ919498,Mammarenavirus lassaense,"Sandi,J.D., Momoh,M., Jalloh,A.M.S., Kamara,M.S., Kallon,T.M.P.S., Baimba,F., Samuels,R.J., Wohl,S., Alhasan,F., Kanneh,L., Park,D., Siddle,K.J., Schieffelin,J., Sabeti,P., Garry,R.F., Andersen,K.G., Happi,C., Grant,D.S., Schefflien,J.S.","Kenema Government Hospital, Viral Hemorrhagic Fever (Vhf) Laborarory",Sierra Leone,2023-07-08,G-7843-2-1,Mammarenavirus lassaense,partial,Sierra Leone: KGH,Sierra Leone,,,2018-02-20
OQ919499,Mammarenavirus lassaense,"Sandi,J.D., Momoh,M., Jalloh,A.M.S., Kamara,M.S., Kallon,T.M.P.S., Baimba,F., Samuels,R.J., Wohl,S., Alhasan,F., Kanneh,L., Park,D., Siddle,K.J., Schieffelin,J., Sabeti,P., Garry,R.F., Andersen,K.G., Happi,C., Grant,D.S., Schefflien,J.S.","Kenema Government Hospital, Viral Hemorrhagic Fever (Vhf) Laborarory",Sierra Leone,2023-07-08,G-8439-1-1,Mammarenavirus lassaense,partial,Sierra Leone: KGH,Sierra Leone,,,2020-01-14
OQ919500,Mammarenavirus lassaense,"Sandi,J.D., Momoh,M., Jalloh,A.M.S., Kamara,M.S., Kallon,T.M.P.S., Baimba,F., Samuels,R.J., Wohl,S., Alhasan,F., Kanneh,L., Park,D., Siddle,K.J., Schieffelin,J., Sabeti,P., Garry,R.F., Andersen,K.G., Happi,C., Grant,D.S., Schefflien,J.S.","Kenema Government Hospital, Viral Hemorrhagic Fever (Vhf) Laborarory",Sierra Leone,2023-07-08,G-7601-4-1,Mammarenavirus lassaense,partial,Sierra Leone: KGH,Sierra Leone,,,2017-04-09
OQ919501,Mammarenavirus lassaense,"Sandi,J.D., Momoh,M., Jalloh,A.M.S., Kamara,M.S., Kallon,T.M.P.S., Baimba,F., Samuels,R.J., Wohl,S., Alhasan,F., Kanneh,L., Park,D., Siddle,K.J., Schieffelin,J., Sabeti,P., Garry,R.F., Andersen,K.G., Happi,C., Grant,D.S., Schefflien,J.S.","Kenema Government Hospital, Viral Hemorrhagic Fever (Vhf) Laborarory",Sierra Leone,2023-07-08,G-7284-1-1,Mammarenavirus lassaense,partial,Sierra Leone: KGH,Sierra Leone,,,2016-06-30
OQ919502,Mammarenavirus lassaense,"Sandi,J.D., Momoh,M., Jalloh,A.M.S., Kamara,M.S., Kallon,T.M.P.S., Baimba,F., Samuels,R.J., Wohl,S., Alhasan,F., Kanneh,L., Park,D., Siddle,K.J., Schieffelin,J., Sabeti,P., Garry,R.F., Andersen,K.G., Happi,C., Grant,D.S., Schefflien,J.S.","Kenema Government Hospital, Viral Hemorrhagic Fever (Vhf) Laborarory",Sierra Leone,2023-07-08,G-27671-1-1,Mammarenavirus lassaense,partial,Sierra Leone: KGH,Sierra Leone,,,2022-06-09
OQ919503,Mammarenavirus lassaense,"Sandi,J.D., Momoh,M., Jalloh,A.M.S., Kamara,M.S., Kallon,T.M.P.S., Baimba,F., Samuels,R.J., Wohl,S., Alhasan,F., Kanneh,L., Park,D., Siddle,K.J., Schieffelin,J., Sabeti,P., Garry,R.F., Andersen,K.G., Happi,C., Grant,D.S., Schefflien,J.S.","Kenema Government Hospital, Viral Hemorrhagic Fever (Vhf) Laborarory",Sierra Leone,2023-07-08,G-7823-2-1,Mammarenavirus lassaense,partial,Sierra Leone: KGH,Sierra Leone,,,2018-01-30
OQ919504,Mammarenavirus lassaense,"Sandi,J.D., Momoh,M., Jalloh,A.M.S., Kamara,M.S., Kallon,T.M.P.S., Baimba,F., Samuels,R.J., Wohl,S., Alhasan,F., Kanneh,L., Park,D., Siddle,K.J., Schieffelin,J., Sabeti,P., Garry,R.F., Andersen,K.G., Happi,C., Grant,D.S., Schefflien,J.S.","Kenema Government Hospital, Viral Hemorrhagic Fever (Vhf) Laborarory",Sierra Leone,2023-07-08,G-8410-1-1,Mammarenavirus lassaense,partial,Sierra Leone: KGH,Sierra Leone,,,2019-12-26
OQ919505,Mammarenavirus lassaense,"Sandi,J.D., Momoh,M., Jalloh,A.M.S., Kamara,M.S., Kallon,T.M.P.S., Baimba,F., Samuels,R.J., Wohl,S., Alhasan,F., Kanneh,L., Park,D., Siddle,K.J., Schieffelin,J., Sabeti,P., Garry,R.F., Andersen,K.G., Happi,C., Grant,D.S., Schefflien,J.S.","Kenema Government Hospital, Viral Hemorrhagic Fever (Vhf) Laborarory",Sierra Leone,2023-07-08,G-7661-1-1,Mammarenavirus lassaense,partial,Sierra Leone: KGH,Sierra Leone,,,2017-08-03
OQ919506,Mammarenavirus lassaense,"Sandi,J.D., Momoh,M., Jalloh,A.M.S., Kamara,M.S., Kallon,T.M.P.S., Baimba,F., Samuels,R.J., Wohl,S., Alhasan,F., Kanneh,L., Park,D., Siddle,K.J., Schieffelin,J., Sabeti,P., Garry,R.F., Andersen,K.G., Happi,C., Grant,D.S., Schefflien,J.S.","Kenema Government Hospital, Viral Hemorrhagic Fever (Vhf) Laborarory",Sierra Leone,2023-07-08,G-27653-1-1,Mammarenavirus lassaense,partial,Sierra Leone: KGH,Sierra Leone,,,2022-05-28
OQ919507,Mammarenavirus lassaense,"Sandi,J.D., Momoh,M., Jalloh,A.M.S., Kamara,M.S., Kallon,T.M.P.S., Baimba,F., Samuels,R.J., Wohl,S., Alhasan,F., Kanneh,L., Park,D., Siddle,K.J., Schieffelin,J., Sabeti,P., Garry,R.F., Andersen,K.G., Happi,C., Grant,D.S., Schefflien,J.S.","Kenema Government Hospital, Viral Hemorrhagic Fever (Vhf) Laborarory",Sierra Leone,2023-07-08,G-7821-5-1,Mammarenavirus lassaense,partial,Sierra Leone: KGH,Sierra Leone,,,2018-01-28
OQ919508,Mammarenavirus lassaense,"Sandi,J.D., Momoh,M., Jalloh,A.M.S., Kamara,M.S., Kallon,T.M.P.S., Baimba,F., Samuels,R.J., Wohl,S., Alhasan,F., Kanneh,L., Park,D., Siddle,K.J., Schieffelin,J., Sabeti,P., Garry,R.F., Andersen,K.G., Happi,C., Grant,D.S., Schefflien,J.S.","Kenema Government Hospital, Viral Hemorrhagic Fever (Vhf) Laborarory",Sierra Leone,2023-07-08,G-7638-1-1,Mammarenavirus lassaense,partial,Sierra Leone: KGH,Sierra Leone,,,2017-06-15
OQ919509,Mammarenavirus lassaense,"Sandi,J.D., Momoh,M., Jalloh,A.M.S., Kamara,M.S., Kallon,T.M.P.S., Baimba,F., Samuels,R.J., Wohl,S., Alhasan,F., Kanneh,L., Park,D., Siddle,K.J., Schieffelin,J., Sabeti,P., Garry,R.F., Andersen,K.G., Happi,C., Grant,D.S., Schefflien,J.S.","Kenema Government Hospital, Viral Hemorrhagic Fever (Vhf) Laborarory",Sierra Leone,2023-07-08,G-7795-1-1,Mammarenavirus lassaense,partial,Sierra Leone: KGH,Sierra Leone,,,2018-01-15
OQ919510,Mammarenavirus lassaense,"Sandi,J.D., Momoh,M., Jalloh,A.M.S., Kamara,M.S., Kallon,T.M.P.S., Baimba,F., Samuels,R.J., Wohl,S., Alhasan,F., Kanneh,L., Park,D., Siddle,K.J., Schieffelin,J., Sabeti,P., Garry,R.F., Andersen,K.G., Happi,C., Grant,D.S., Schefflien,J.S.","Kenema Government Hospital, Viral Hemorrhagic Fever (Vhf) Laborarory",Sierra Leone,2023-07-08,G-26293-1-2,Mammarenavirus lassaense,partial,Sierra Leone: KGH,Sierra Leone,,,2021-07-29
