strain	date	Host	Geo_Location	country	accession
MH887825	2018-03-18	Homo sapiens	Nigeria	Nigeria	
KM821941	2012-01-01 (2012-01-01 - 2012-11-20)	Homo sapiens	Nigeria	Nigeria	
MK117970	2018-01-19	Homo sapiens	Nigeria: EDO	Nigeria	
MH887786	2018-01-19	Homo sapiens	Nigeria	Nigeria	
MK117977	2018-01-26	Homo sapiens	Nigeria: EDO	Nigeria	
MH887771	2018-01-26	Homo sapiens	Nigeria	Nigeria	
MK281627	2018-01-20	Homo sapiens	Nigeria	Nigeria	
KM822041	2011-01-01 (2011-01-01 - 2011-11-14)	Homo sapiens	Nigeria	Nigeria	
KM822107	2009-12-31 (2009-02-13 - 2009-12-31)	Homo sapiens	Nigeria	Nigeria	
KM822004	2009-01-01 (2009-01-01 - 2009-11-21)	Homo sapiens	Nigeria	Nigeria	
MH887842	2017-10-06	Homo sapiens	Nigeria	Nigeria	
MK117856	2018-01-26	Homo sapiens	Nigeria: EDO	Nigeria	
MK117976	2018-01-26	Homo sapiens	Nigeria: EDO	Nigeria	
OR147791	2018-01-24	Homo sapiens	Nigeria	Nigeria	
MH887779	2018-02-16	Homo sapiens	Nigeria	Nigeria	
MH887887	2018-02-05	Homo sapiens	Nigeria	Nigeria	
MK117982	2018-02-05	Homo sapiens	Nigeria: EDO	Nigeria	
MK117846	2014-01-25	Homo sapiens	Nigeria: EDO	Nigeria	
KM821957	2012-12-31 (2012-02-16 - 2012-12-31)	Homo sapiens	Nigeria	Nigeria	
MH053533	2016-04-13	Homo sapiens	Nigeria	Nigeria	
KM822008	2009-01-01 (2009-01-01 - 2009-11-21)	Homo sapiens	Nigeria	Nigeria	
MH053526	2016-02-28	Homo sapiens	Nigeria	Nigeria	
KM821931	2011-01-01 (2011-01-01 - 2011-11-20)	Homo sapiens	Nigeria	Nigeria	
MH887797	2017-11-29	Homo sapiens	Nigeria	Nigeria	
MK281625	2018-02-26	Homo sapiens	Nigeria	Nigeria	
MK118033	2018-03-05	Homo sapiens	Nigeria: EDDO	Nigeria	
MH157050	2018-03-05	Homo sapiens	Nigeria	Nigeria	
KM822025	2010-12-31 (2010-02-12 - 2010-12-31)	Homo sapiens	Nigeria	Nigeria	
MH887772	2017-11-10	Homo sapiens	Nigeria	Nigeria	
KM821992	2012-12-31 (2012-02-14 - 2012-12-31)	Homo sapiens	Nigeria	Nigeria	
KM822082	2009-01-01 (2009-01-01 - 2009-11-21)	Homo sapiens	Nigeria	Nigeria	
MH887823	2017-10-18	Homo sapiens	Nigeria	Nigeria	
MH157046	2018-01-07	Homo sapiens	Nigeria	Nigeria	
KM821918	2011-01-01 (2011-01-01 - 2011-11-22)	Homo sapiens	Nigeria	Nigeria	
KM821927	2011-12-31 (2011-01-01 - 2011-12-31)	Homo sapiens	Nigeria	Nigeria	
KM822093	2009-01-01 (2009-01-01 - 2009-11-17)	Homo sapiens	Nigeria	Nigeria	
KM821916	2011-07-21 (2011-01-01 - 2011-12-31)	Homo sapiens	Nigeria	Nigeria	
MH053538	2016-07-31	Homo sapiens	Nigeria	Nigeria	
MH053488	2016-05-18	Homo sapiens	Nigeria	Nigeria	
MH053576	2016-04-21	Homo sapiens	Nigeria	Nigeria	
MK107898	2012-05-28	Homo sapiens	Nigeria: Delta	Nigeria	
MK117979	2018-01-29	Homo sapiens	Nigeria: ANAMBRA	Nigeria	
MK117859	2018-02-12	Homo sapiens	Nigeria: ANAMBRA	Nigeria	
MK118000	2018-02-12	Homo sapiens	Nigeria: ANAMBRA	Nigeria	
KM822091	2009-12-31 (2009-02-07 - 2009-12-31)	Homo sapiens	Nigeria	Nigeria	
KM822043	2010-01-01 (2010-01-01 - 2010-11-22)	Homo sapiens	Nigeria	Nigeria	
MH887897	2017-04-17	Homo sapiens	Nigeria	Nigeria	
KM822000	2008-01-01 (2008-01-01 - 2008-11-22)	Homo sapiens	Nigeria	Nigeria	
KM822035	2010-01-01 (2010-01-01 - 2010-11-20)	Homo sapiens	Nigeria	Nigeria	
KM822045	2011-12-31 (2011-02-10 - 2011-12-31)	Homo sapiens	Nigeria	Nigeria	
KM822088	2009-12-31 (2009-02-15 - 2009-12-31)	Homo sapiens	Nigeria	Nigeria	
MH887891	2018-01-17	Homo sapiens	Nigeria	Nigeria	
MH887857	2018-02-12	Homo sapiens	Nigeria	Nigeria	
MK117848	2016-02-15	Homo sapiens	Nigeria: EDO	Nigeria	
MH053514	2016-02-15	Homo sapiens	Nigeria	Nigeria	
GU481078	2008-01-01 (2008-01-01 - 2008-11-22)	Homo sapiens	Nigeria: Edo State	Nigeria	
KM822033	2011-12-31 (2011-02-09 - 2011-12-31)	Homo sapiens	Nigeria	Nigeria	
KM822055	2010-03-21 (2010-01-01 - 2010-12-31)	Homo sapiens	Nigeria	Nigeria	
KM821933	2011-12-31 (2011-02-11 - 2011-12-31)	Homo sapiens	Nigeria	Nigeria	
MK118036	2018-03-08	Homo sapiens	Nigeria: EDO	Nigeria	
MK118039	2018-03-09	Homo sapiens	Nigeria: EDO	Nigeria	
KM822103	2009-01-01 (2009-01-01 - 2009-11-19)	Homo sapiens	Nigeria	Nigeria	
MH053580	2016-04-13	Homo sapiens	Nigeria	Nigeria	
KM821955	2012-12-31 (2012-02-12 - 2012-12-31)	Homo sapiens	Nigeria	Nigeria	
KM821965	2012-12-31 (2012-02-08 - 2012-12-31)	Homo sapiens	Nigeria	Nigeria	
MK117986	2018-02-06	Homo sapiens	Nigeria: EDO	Nigeria	
MH887767	2018-02-06	Homo sapiens	Nigeria	Nigeria	
MH887816	2018-01-15	Homo sapiens	Nigeria	Nigeria	
MK118021	2018-02-18	Homo sapiens	Nigeria: EDO	Nigeria	
MH157034	2018-02-18	Homo sapiens	Nigeria	Nigeria	
KM821914	2011-12-31 (2011-02-07 - 2011-12-31)	Homo sapiens	Nigeria	Nigeria	
KM822099	2009-03-06 (2009-01-01 - 2009-12-31)	Homo sapiens	Nigeria	Nigeria	
MH887755	2018-02-17	Homo sapiens	Nigeria	Nigeria	
MH887862	2018-02-13	Homo sapiens	Nigeria	Nigeria	
MK117988	2018-02-08	Homo sapiens	Nigeria: EDO	Nigeria	
MK118022	2018-02-20	Homo sapiens	Nigeria: EDO	Nigeria	
MH887878	2018-02-13	Homo sapiens	Nigeria	Nigeria	
KM822069	2009-12-31 (2009-02-19 - 2009-12-31)	Homo sapiens	Nigeria	Nigeria	
KM821996	2012-01-01 (2012-01-01 - 2012-11-23)	Homo sapiens	Nigeria	Nigeria	
KM821922	2011-12-31 (2011-02-08 - 2011-12-31)	Homo sapiens	Nigeria	Nigeria	
KM822047	2011-01-01 (2011-01-01 - 2011-11-23)	Homo sapiens	Nigeria	Nigeria	
MK117857	2018-02-10	Homo sapiens	Nigeria: EDO	Nigeria	
MK117997	2018-02-10	Homo sapiens	Nigeria: EDO	Nigeria	
MK118010	2018-02-14	Homo sapiens	Nigeria: EDO	Nigeria	
MH157037	2018-02-14	Homo sapiens	Nigeria	Nigeria	
MH887763	2017-03-15	Homo sapiens	Nigeria	Nigeria	
KM822012	2009-12-31 (2009-02-08 - 2009-12-31)	Homo sapiens	Nigeria	Nigeria	
KM821961	2012-12-31 (2012-02-14 - 2012-12-31)	Homo sapiens	Nigeria	Nigeria	
KM822031	2010-01-01 (2010-01-01 - 2010-11-23)	Homo sapiens	Nigeria	Nigeria	
KM821937	2011-12-31 (2011-02-07 - 2011-12-31)	Homo sapiens	Nigeria	Nigeria	
KM822039	2010-05-24 (2010-01-01 - 2010-12-31)	Homo sapiens	Nigeria	Nigeria	
KM822063	2009-12-31 (2009-02-10 - 2009-12-31)	Homo sapiens	Nigeria	Nigeria	
KM821988	2012-01-01 (2012-01-01 - 2012-11-21)	Homo sapiens	Nigeria	Nigeria	
MH887888	2017-01-26	Homo sapiens	Nigeria	Nigeria	
KM821947	2012-12-31 (2012-02-10 - 2012-12-31)	Homo sapiens	Nigeria	Nigeria	
MK107897	2011-08-02	Homo sapiens	Nigeria: Ondo	Nigeria	
MK107916	2015-11-06	Homo sapiens	Nigeria: Ondo	Nigeria	
MH053559	2015-11-06	Homo sapiens	Nigeria	Nigeria	
MH887758	2017-09-18	Homo sapiens	Nigeria	Nigeria	
MK118030	2018-02-28	Homo sapiens	Nigeria: ONDO	Nigeria	
MK117864	2018-02-28	Homo sapiens	Nigeria: ONDO	Nigeria	
MH887803	2018-02-28	Homo sapiens	Nigeria	Nigeria	
MH887848	2017-12-17	Homo sapiens	Nigeria	Nigeria	
MK107909	2014-08-10	Homo sapiens	Nigeria: Ondo	Nigeria	
MK107950	2015-02-22	Homo sapiens	Nigeria: Ondo	Nigeria	
KM822002	2008-06-15 (2008-01-01 - 2008-12-31)	Homo sapiens	Nigeria	Nigeria	
MH887764	2018-01-23	Homo sapiens	Nigeria	Nigeria	
MH887796	2018-02-06	Homo sapiens	Nigeria	Nigeria	
KM821943	2011-12-31 (2011-02-07 - 2011-12-31)	Homo sapiens	Nigeria	Nigeria	
MH887821	2018-02-09	Homo sapiens	Nigeria	Nigeria	
MK117998	2018-02-11	Homo sapiens	Nigeria: ONDO	Nigeria	
MH887836	2018-02-11	Homo sapiens	Nigeria	Nigeria	
MH053537	2016-09-13	Homo sapiens	Nigeria	Nigeria	
MH053551	2016-09-14	Homo sapiens	Nigeria	Nigeria	
MK117984	2018-02-04	Homo sapiens	Nigeria: ONDO	Nigeria	
MH157028	2018-02-04	Homo sapiens	Nigeria	Nigeria	
MK118009	2018-02-13	Homo sapiens	Nigeria: ONDO	Nigeria	
MH887829	2018-02-13	Homo sapiens	Nigeria	Nigeria	
MH887801	2017-06-13	Homo sapiens	Nigeria	Nigeria	
OR493499	2022-02-21	Capra hircus	Nigeria: Abakaliki	Nigeria	
MK117951	2017-12-31 (2017-02-13 - 2017-12-31)	Homo sapiens	Nigeria: ONDO	Nigeria	
MH887865	2018-01-17	Homo sapiens	Nigeria	Nigeria	
MK117967	2018-01-18	Homo sapiens	Nigeria: NASARAWA	Nigeria	
MK117855	2018-01-18	Homo sapiens	Nigeria: NASARAWA	Nigeria	
MH887879	2018-01-18	Homo sapiens	Nigeria	Nigeria	
MH887830	2017-09-02	Homo sapiens	Nigeria	Nigeria	
MH887859	2018-02-06	Homo sapiens	Nigeria	Nigeria	
MH053518	2016-09-04	Homo sapiens	Nigeria	Nigeria	
MK117962	2018-01-15	Homo sapiens	Nigeria: OWO	Nigeria	
MK117854	2018-01-15	Homo sapiens	Nigeria: OWO	Nigeria	
MH157035	2018-01-15	Homo sapiens	Nigeria	Nigeria	
MH887766	2018-01-13	Homo sapiens	Nigeria	Nigeria	
MK117949	2017-01-19	Homo sapiens	Nigeria: ONDO	Nigeria	
MH887773	2017-12-18	Homo sapiens	Nigeria	Nigeria	
MH887877	2017-02-14	Homo sapiens	Nigeria	Nigeria	
MH053528	2016-02-24	Homo sapiens	Nigeria	Nigeria	
MK107938	2016-03-01	Homo sapiens	Nigeria: Ondo	Nigeria	
MK118008	2018-02-13	Homo sapiens	Nigeria: ONDO	Nigeria	
MH887882	2018-02-13	Homo sapiens	Nigeria	Nigeria	
MH887890	2018-01-05	Homo sapiens	Nigeria	Nigeria	
MH887774	2018-02-15	Homo sapiens	Nigeria	Nigeria	
MH887864	2018-01-15	Homo sapiens	Nigeria	Nigeria	
MH887895	2017-05-07	Homo sapiens	Nigeria	Nigeria	
MK117999	2018-02-12	Homo sapiens	Nigeria: ONDO	Nigeria	
MH887780	2018-02-12	Homo sapiens	Nigeria	Nigeria	
MK117858	2018-02-12	Homo sapiens	Nigeria: ONDO	Nigeria	
MH887871	2018-02-11	Homo sapiens	Nigeria	Nigeria	
MK118014	2018-02-15	Homo sapiens	Nigeria: ONDO	Nigeria	
MH887892	2018-01-11	Homo sapiens	Nigeria	Nigeria	
MH157038	2018-02-15	Homo sapiens	Nigeria	Nigeria	
MK117991	2018-02-09	Homo sapiens	Nigeria: ONDO	Nigeria	
MH887855	2018-02-09	Homo sapiens	Nigeria	Nigeria	
MH887768	2018-02-16	Homo sapiens	Nigeria	Nigeria	
MH887802	2018-02-28	Homo sapiens	Nigeria	Nigeria	
MK117983	2018-02-05	Homo sapiens	Nigeria: ONDO	Nigeria	
MH887775	2018-02-05	Homo sapiens	Nigeria	Nigeria	
MH887844	2017-07-05	Homo sapiens	Nigeria	Nigeria	
MK117954	2018-01-07	Homo sapiens	Nigeria: ONDO	Nigeria	
MH887805	2018-01-07	Homo sapiens	Nigeria	Nigeria	
MH887784	2018-01-28	Homo sapiens	Nigeria	Nigeria	
MH053484	2016-02-23	Homo sapiens	Nigeria	Nigeria	
MH887789	2017-07-19	Homo sapiens	Nigeria	Nigeria	
MH887839	2018-02-21	Homo sapiens	Nigeria	Nigeria	
MK117959	2018-01-12	Homo sapiens	Nigeria: ONDO	Nigeria	
MH887804	2018-01-12	Homo sapiens	Nigeria	Nigeria	
MK117990	2018-02-09	Homo sapiens	Nigeria: ONDO	Nigeria	
MH887867	2018-02-09	Homo sapiens	Nigeria	Nigeria	
MH887757	2017-12-17	Homo sapiens	Nigeria	Nigeria	
OR493503	2021-07-13		Nigeria: Owo	Nigeria	
OR493504	2021-07-09		Nigeria: Owo	Nigeria	
MH887792	2018-02-13	Homo sapiens	Nigeria	Nigeria	
MH887843	2017-12-28	Homo sapiens	Nigeria	Nigeria	
MH887858	2018-02-10	Homo sapiens	Nigeria	Nigeria	
MH053575	2016-03-24	Homo sapiens	Nigeria	Nigeria	
MH887845	2018-02-15	Homo sapiens	Nigeria	Nigeria	
MH887794	2018-01-06	Homo sapiens	Nigeria	Nigeria	
MK117987	2018-02-07	Homo sapiens	Nigeria: ONDO	Nigeria	
MH887818	2018-02-06	Homo sapiens	Nigeria	Nigeria	
OR493501	2022-02-22	Capra hircus	Nigeria: Abakaliki	Nigeria	
MH887849	2017-12-12	Homo sapiens	Nigeria	Nigeria	
MK118016	2018-02-15	Homo sapiens	Nigeria: EKITI	Nigeria	
MK117966	2018-01-17	Homo sapiens	Nigeria: ONDO	Nigeria	
MH887866	2018-01-17	Homo sapiens	Nigeria	Nigeria	
MH887781	2018-01-14	Homo sapiens	Nigeria	Nigeria	
MH053545	2016-02-11	Homo sapiens	Nigeria	Nigeria	
MH887872	2017-12-26	Homo sapiens	Nigeria	Nigeria	
MK107915	2015-09-16	Homo sapiens	Nigeria: Ondo	Nigeria	
MH053586	2015-09-16	Homo sapiens	Nigeria	Nigeria	
KM822053	2010-01-01 (2010-01-01 - 2010-11-18)	Homo sapiens	Nigeria	Nigeria	
KM822095	2009-01-01 (2009-01-01 - 2009-12-31)	Homo sapiens	Nigeria	Nigeria	
MK117972	2018-01-24	Homo sapiens	Nigeria: EDO	Nigeria	
MH887811	2017-06-16	Homo sapiens	Nigeria	Nigeria	
KM822071	2009-01-01 (2009-01-01 - 2009-11-18)	Homo sapiens	Nigeria	Nigeria	
KM822023	2010-01-01 (2010-01-01 - 2010-11-12)	Homo sapiens	Nigeria	Nigeria	
MH887831	2017-02-07	Homo sapiens	Nigeria	Nigeria	
MH053577	2016-11-02	Homo sapiens	Nigeria	Nigeria	
KM822074	2009-01-01 (2009-01-01 - 2009-11-24)	Homo sapiens	Nigeria	Nigeria	
MH053493	2016-01-17	Homo sapiens	Nigeria	Nigeria	
MH053564	2016-01-15	Homo sapiens	Nigeria	Nigeria	
MK117985	2018-02-05	Homo sapiens	Nigeria: ONDO	Nigeria	
MK107907	2014-05-17	Homo sapiens	Nigeria: Ondo	Nigeria	
MK107948	2014-05-08	Homo sapiens	Nigeria: Ondo	Nigeria	
MH053483	2016-04-29	Homo sapiens	Nigeria	Nigeria	
MH887777	2018-03-23	Homo sapiens	Nigeria	Nigeria	
MH887787	2017-06-05	Homo sapiens	Nigeria	Nigeria	
MH887783	2017-03-16	Homo sapiens	Nigeria	Nigeria	
MK291249	2014-12-31 (2014-02-08 - 2014-12-31)	Homo sapiens	Nigeria	Nigeria	
MK107908	2014-08-01	Homo sapiens	Nigeria: Ondo	Nigeria	
MH887841	2017-08-03	Homo sapiens	Nigeria	Nigeria	
MH887800	2017-06-07	Homo sapiens	Nigeria	Nigeria	
MK118031	2018-03-01	Homo sapiens	Nigeria: EDO	Nigeria	
MK117865	2018-03-01	Homo sapiens	Nigeria: EDO	Nigeria	
MH887759	2018-03-01	Homo sapiens	Nigeria	Nigeria	
KM821967	2012-12-31 (2012-02-08 - 2012-12-31)	Homo sapiens	Nigeria	Nigeria	
MT193283	2016-01-30	Homo sapiens	Benin	Benin	
KM821959	2012-12-31 (2012-02-15 - 2012-12-31)	Homo sapiens	Nigeria	Nigeria	
KM821998	2012-01-01 (2012-01-01 - 2012-11-26)	Homo sapiens	Nigeria	Nigeria	
MK117957	2018-01-11	Homo sapiens	Nigeria: ONDO	Nigeria	
MH887846	2018-01-11	Homo sapiens	Nigeria	Nigeria	
MH053490	2016-01-23	Homo sapiens	Nigeria	Nigeria	
MK107937	2016-03-14	Homo sapiens	Nigeria: Ondo	Nigeria	
MH053544	2016-02-28	Homo sapiens	Nigeria	Nigeria	
MH053523	2016-01-06	Homo sapiens	Nigeria	Nigeria	
MK118027	2018-02-25	Homo sapiens	Nigeria: EDO	Nigeria	
MK117863	2018-02-25	Homo sapiens	Nigeria: EDO	Nigeria	
MH887851	2018-01-24	Homo sapiens	Nigeria	Nigeria	
MK107951	2015-01-08	Homo sapiens	Nigeria: Plateau	Nigeria	
MK107946	2013-03-18	Homo sapiens	Nigeria: Rivers	Nigeria	
MH887885	2017-02-10	Homo sapiens	Nigeria	Nigeria	
MK107943	2017-01-01 (2017-01-01 - 2017-11-04)	Homo sapiens	Nigeria: unknown	Nigeria	
MK117963	2018-01-16	Homo sapiens	Nigeria: EDO	Nigeria	
MH887815	2018-01-16	Homo sapiens	Nigeria	Nigeria	
MH053487	2016-10-27	Homo sapiens	Nigeria	Nigeria	
MH053554	2016-01-06	Homo sapiens	Nigeria	Nigeria	
MK117847	2016-01-04	Homo sapiens	Nigeria: EDO	Nigeria	
MH053491	2016-01-04	Homo sapiens	Nigeria	Nigeria	
MH887893	2018-02-20	Homo sapiens	Nigeria	Nigeria	
KM822086	2009-12-31 (2009-02-08 - 2009-12-31)	Homo sapiens	Nigeria	Nigeria	
MK107944	2017-01-01 (2017-01-01 - 2017-11-24)	Homo sapiens	Nigeria: unknown	Nigeria	
KM821939	2012-12-31 (2012-02-10 - 2012-12-31)	Homo sapiens	Nigeria	Nigeria	
MH887760	2018-03-11	Homo sapiens	Nigeria	Nigeria	
KM822022	2010-01-01 (2010-01-01 - 2010-11-10)	Homo sapiens	Nigeria	Nigeria	
KM822080	2009-12-31 (2009-02-18 - 2009-12-31)	Homo sapiens	Nigeria	Nigeria	
KM822060	2009-01-01 (2009-01-01 - 2009-11-12)	Homo sapiens	Nigeria	Nigeria	
MH053553	2015-11-06	Homo sapiens	Nigeria	Nigeria	
KM821972	2012-12-31 (2012-02-18 - 2012-12-31)	Homo sapiens	Nigeria	Nigeria	
KM822020	2009-01-01 (2009-01-01 - 2009-11-24)	Homo sapiens	Nigeria	Nigeria	
MH887856	2018-01-15	Homo sapiens	Nigeria	Nigeria	
MK117956	2018-01-09	Homo sapiens	Nigeria: EDO	Nigeria	
MH887770	2018-01-09	Homo sapiens	Nigeria	Nigeria	
MH053511	2015-11-10	Homo sapiens	Nigeria	Nigeria	
MH887808	2017-06-27	Homo sapiens	Nigeria	Nigeria	
KM822014	2008-01-01 (2008-01-01 - 2008-11-24)	Homo sapiens	Nigeria	Nigeria	
KM822049	2010-12-31 (2010-02-08 - 2010-12-31)	Homo sapiens	Nigeria	Nigeria	
MH887881	2017-01-21	Homo sapiens	Nigeria	Nigeria	
MK117851	2017-12-31 (2017-02-08 - 2017-12-31)	Homo sapiens	Nigeria: EDO	Nigeria	
MH053578	2016-01-14	Homo sapiens	Nigeria	Nigeria	
MK291250	2014-01-01 (2014-01-01 - 2014-11-23)	Homo sapiens	Nigeria	Nigeria	
KM822016	2008-12-31 (2008-02-07 - 2008-12-31)	Homo sapiens	Nigeria	Nigeria	
MK291248	2015-12-31 (2015-02-07 - 2015-12-31)	Homo sapiens	Nigeria	Nigeria	
